"id","userEmail","cartId","paymentMethod","addressId"
"ac446db5-067f-43bd-be50-23a1609ce17c","a.com","85065676-6f51-49d4-8a20-2559146919d6","CreditCard","4844cac1-cc6a-40a8-8f64-ee8e8fc0811a"
"40998161-5270-4a3b-9733-7fc07dce9c82","a.com","ce99d361-53be-47da-b08f-fbe9a222a6be","CreditCard","492bc876-e9ad-4bcb-8af3-764916fe3b55"
"e1ad53a1-6065-401a-a690-2b0deb4df7fb","a.com","8302323d-223e-4ef2-92b8-19d9115ca8e1","CreditCard","79435598-4bab-40a5-96e6-d727c09a8e80"
"08268abd-3492-440e-a525-255e977119f3","a.com","a9b76b1c-e430-4009-8d6b-6e694fbe3e1e","CreditCard","9a5aa722-6824-4055-9744-a18ba4d1cf7b"
"6de7874d-dede-45f8-bd2c-607389eda4e6","a.com","7e0b6714-bbe5-4687-89bb-9dbde3267b2f","CreditCard","fab5c571-3028-4faf-9244-ddda184c5e20"
"9479f1cc-e070-4e2c-9eaf-4cbedffe0b2c","a.com","8b2f55db-b5ad-4004-880e-dd53a00ad542","CreditCard","cd502c42-3a43-4175-b99d-0ceef238b643"
"d53313d5-e60e-4cc7-a872-bd6d678cc65b","a.com","98ebca2b-9c7e-4183-9ae6-c472836e5673","CreditCard","780b6a9c-82ef-4a85-a40e-9035af1f01cd"
"c441b351-9fb5-4727-9186-345cf1666125","gi.trevizan.barbosa@gmail.com","3c436417-3ed3-436a-9b33-5db2a686bf08","Pix","effdc461-d0a9-45bb-9c6d-46808d84f272"
"e1d9ed38-9b48-4e5b-833c-90381a473b9c","a@a.com","e4cce810-2537-42d7-8ec3-ed405c3f6cd6","CreditCard","d6cfec8c-63a1-4e10-bd3d-f9c437c1109e"
"b0a49b20-fa2a-4d42-acc9-552b33ae653c","a@a.com","e4cce810-2537-42d7-8ec3-ed405c3f6cd6","CreditCard","d6cfec8c-63a1-4e10-bd3d-f9c437c1109e"
"525ed856-f5a5-42e1-b078-b04e0da5115c","a@a.com","e4cce810-2537-42d7-8ec3-ed405c3f6cd6","CreditCard","d6cfec8c-63a1-4e10-bd3d-f9c437c1109e"
"f2370e90-cf4b-44f7-ab98-855810738403","a@a.com","e4cce810-2537-42d7-8ec3-ed405c3f6cd6","CreditCard","d6cfec8c-63a1-4e10-bd3d-f9c437c1109e"
