"id","name","email","password"
"4cccb792-f61b-4401-bcc2-9708b5471894","Cauã","causTestAuth@gmail.com","15e2b0d3c33891ebb0f1ef609ec419420c20e320ce94c65fbc8c3312448eb225"
"2460a418-bc67-4ade-9389-8984ba11d9b7","Cauã","testAddUser@gmail.com","15e2b0d3c33891ebb0f1ef609ec419420c20e320ce94c65fbc8c3312448eb225"
"ee07724c-aa2a-4394-b936-d07df5b7d3db","Cauã","casdafsafa@a.com","123456789"
"c357b9fe-5ab5-44fe-b1e4-d34963a3594f","Giovana Trevizan","gi.trevizfan.barbosa@gmail.com","8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"
"e485013d-b0b5-4907-bb43-a9ae2f566074","Giovana Trevizan","giovaninha@gmail.com","8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"
"1a8a77c5-e200-4ab4-82a3-51d3fa9c6386","Cauã","a.com","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3"
"7e7d0bee-bbbc-41db-a6b1-4bf1a3905109","Giovana Trevizan","gi.trevizan.barbosa@gmail.com","8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"
"4c4f2b48-3f69-4e42-afc4-4524bcf55c7d","Cauã","caua.email.com","Password123"
"4849cf38-cc6b-4fdc-aa1d-09b57e8f1e3f","João","joao.email.com","Password123"
"3c2df4e0-b55f-460f-b6d7-e8bc07f11ff8","Cauã","cauaaaaaa.email.com","Password123"
"837a23a0-797b-4ede-9a52-eeee11e8f737","Cauã","kausnda.email.com","Password123"
"4198efee-f802-4d43-ad4a-3e7ca7934a5a","Cauã","a@a.com","123"
