"id","ownerEmail","totalPrice"
"80183817-86ce-461b-a123-f168b989ab0a","b@b.com","0.0"
"87630fb2-92ea-4a2c-bc17-c93c0f5b7a0e","gi.treviza.barbosa@gmail.com","0.0"
"8bcbb08f-516b-487f-9057-7348656d1376","a@a.com","0.0"
"a4951cd2-c587-4af8-94dd-983dcc5a88cd","tester@email.com","0.0"
"aa5c67b8-fa1d-4a7e-805b-c909b1a96dbb","a@a.com","0.0"
"b03baf72-385e-4631-9ee9-b6fd708fd6ea","User 1","400.0"
"bfa03816-b209-47de-8fde-318731cfe88d","tester@email.com","0.0"
"c5b3ce46-68da-4b2d-96f5-bcc0e68ab40f","c@c.com","0.0"
"de5cf983-6722-4f5b-bedc-a04afd97fc86","a@a.com","0.0"
"de86a3ef-5ad1-4be7-9769-a9e3587af629","a@a.com","0.0"
"ef2d6fa0-2fc5-4a45-a2b7-f2beb54e76d4","b@b.com","0.0"
"f53c68a2-6df7-4b14-9735-03229a5f4c3d","c@c.com","0.0"
"f55f5549-f720-417b-9bd0-9cc98e811546","a.com","0.0"
"f96f322c-c59c-45ac-b976-7681e6dd899a","a@a.com","0.0"
"fb07269d-1d26-4526-b472-4465dfc37c26","com","1000.0"
"039ec726-1606-4d85-9dd6-ea02c85eca6d","com","1000.0"
"0b47cbe7-dd71-477d-954a-7d5b82a036e6","a@a.com","1.0"
"137f8b8d-6de8-4fde-9e56-297976f5359e","b@b.com","0.0"
"14db1c65-f083-4736-828b-264a78a971e3","gi.trevizan.barbosa@gmail.com","0.0"
"2daf826e-e6ab-42bb-b6d1-87b7c1e8de5d","a@a.com","0.0"
"2e2f2b80-69a3-4459-96ff-e0c8af349362","a.com","0.0"
"330a4e98-53d8-4293-864d-7be24d651ebf","a@a.com","0.0"
"35b45d28-e7e3-462a-9dbe-e6ff7888a266","b@b.com","0.0"
"377b8d40-9499-400d-895e-542d3d76495f","a@a.com","0.0"
"37a020cb-fd6e-4d83-8046-991bd557be78","a@a.com","0.0"
"38410e87-bb0e-42cb-8567-b0d6cbcc7490","User 1","0.0"
"41389274-dd48-4a07-885d-c140c5628615","gi.trevizan.barbosa@gmail.com","0.0"
"4d9c8c7e-b9be-4f91-9ab7-c642bbbfc4b6","gi.treviza.barbosa@gmail.com","0.0"
