"id","ownerEmail","totalPrice"
"78e43ad8-ed86-4258-9c3e-4fd67c9526a1","a.com","0.0"
"8a1a2121-5600-4899-9b0c-81a10f4da2ce","gi.fiasdfasdasf.com","0.0"
"b0384ad7-b3a1-4eec-9a69-1f681c59a545","testCartControolerEMai.com","0.0"
"929430e1-76e7-4f92-a001-cf03da8cea38","testCartControolerEMai2.com","0.0"
"d2f6cc2e-16e3-4c61-a11b-8f14b811803a","gi.fiasdfasdaasdsf.com","0.0"
"76738038-235d-4978-8fcb-17592b6c8e63","gi.treviza.barbosa@gmail.com","0.0"
"434cb08c-5725-4992-97d2-8177156e257f","gi.trevizan.barbosaa@gmail.com","0.0"
"783b3cb2-b149-4e6d-aced-8aedf0b80079","User 1","0.0"
"da380966-a30f-41d5-8bbd-fd7951f66dab","a@a.com","0.0"
"41e8836e-2bd6-4b0e-bb49-20673ea8baa5","fasbnahbffashbf@gmai.com","0.0"
"0c7cc10e-3903-4414-9a0c-d4978f549b3d","fasbnahbfadshbf@gmai.com","0.0"
"ae8bde84-7f71-4006-b719-f892ca766a1d","c@c.com","0.0"
"96d71748-a534-46b7-9fa5-a6e73ea15df8","fasbnahbfashbf@gmai.com","0.0"
"2b389077-c4c0-4a95-b9bd-8705f40484fb","daoCartTest@2gamilc.om","0.0"
"c22f5976-5b4a-4906-ae79-299c0249cd64","daoCartTest@1gamilc.om","0.0"
"96502cf1-9fd0-457b-a5da-003da6aced24","com","1000.0"
