"id","userEmail","paymentMethod","addressId"
"7c445c02-433f-4522-b069-98092121a293","a.com","CreditCard","c78e769a-4340-469d-b0a4-9bc5bbefb2e9"
"8ef0310b-06f2-47e4-afcd-cf04a05f1ee5","a.com","CreditCard","d9602154-abfa-4b6d-89ae-d992d07bbd25"
"115959d0-d81f-4f47-955f-b14a56c17cc6","a.com","CreditCard","52ae75dc-f9c8-4313-aa50-08a01b8b3b4c"
"a3af9bdd-7f62-409a-9480-5145c01a0d24","a.com","CreditCard","1c412879-34c0-432b-a96f-d8a3075c78a3"
"f6a6fcee-b478-4c95-97d1-be4c35c9b03f","a.com","CreditCard","88554491-4ccc-4391-aa6a-4fd784eb5243"
"b9fc3a93-d46d-440a-8170-587659cea2a9","a.com","CreditCard","83148932-424b-43ac-9555-5d1f0fc71835"
"01548856-9d7d-44be-886f-08c25c3c72e4","a.com","CreditCard","9ad5f3b9-081a-4df5-ae61-348acbdda2ee"
"3d9f023c-3f2f-45f7-89fe-c43136313ffa","gi.trevizan.barbosa@gmail.com","Pix","4627b563-7e7d-4cf0-9524-8b26351cbe39"
"094f5916-0842-4e54-b14d-de0df90fd59d","a@a.com","CreditCard","a22c9908-aa30-4888-8c17-0bdc18e98e19"
"31a20ded-6547-4455-af02-037e3cbf63d2","a@a.com","CreditCard","a22c9908-aa30-4888-8c17-0bdc18e98e19"
"b8c442c3-475e-4ac3-adce-f1e066b70517","a@a.com","CreditCard","a22c9908-aa30-4888-8c17-0bdc18e98e19"
"9269efe4-2f64-4b5f-9065-22448e438f5d","a@a.com","CreditCard","a22c9908-aa30-4888-8c17-0bdc18e98e19"
