"id","name","email","password"
"a8d33eb9-db03-4a17-bbeb-1fad0027dbd9","Cauã","causTestAuth@gmail.com","15e2b0d3c33891ebb0f1ef609ec419420c20e320ce94c65fbc8c3312448eb225"
"b413314f-557d-4e28-b814-2b15898dec29","Cauã","testAddUser@gmail.com","15e2b0d3c33891ebb0f1ef609ec419420c20e320ce94c65fbc8c3312448eb225"
"53b8c552-4b86-4dd2-af56-bcbc4c70f1e5","Cauã","casdafsafa@a.com","123456789"
"6ea974f0-dd5f-49f5-8ea2-e18769c766e8","Giovana Trevizan","gi.trevizfan.barbosa@gmail.com","8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"
"e636935c-5c8d-44f5-b0d7-77b088a035be","Giovana Trevizan","giovaninha@gmail.com","8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"
"b1a4ef89-cdf5-4ad8-b94c-69bb9ea74228","Cauã","a.com","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3"
"0e7f8d10-f864-43e0-9215-6da2dada9aec","Gi","gi.fiasdfasdasf.com","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3"
"cf04cc0f-7fa1-4496-b970-b49e417ecfc2","Gi","testCartControolerEMai.com","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3"
"1150ef65-a309-4407-be94-5c773f332482","Gi","testCartControolerEMai2.com","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3"
"761c8215-64a5-42ef-9121-5bd7bf40aeee","Gi","gi.fiasdfasdaasdsf.com","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3"
"baa5a151-4176-48a2-852d-fc20adbb2cd7","Giovana Trevizan","gi.trevizan.barbosa@gmail.com","8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"
"a71c4fe2-af06-4076-9760-c5a09f2e9ae1","Cauã","caua.email.com","Password123"
"68f48537-944e-439f-b914-56fcc2645180","João","joao.email.com","Password123"
"667f8740-ad0e-44ac-b768-e6832f96c472","Cauã","cauaaaaaa.email.com","Password123"
"f99de525-ba7a-42b8-9b18-07e253ec9a0e","Cauã","kausnda.email.com","Password123"
"256de710-766c-41ff-ada5-70a4f8f6b510","Cauã","a@a.com","123"
"97480394-d5ff-4f33-b777-7071e7729042","Gi","gi.trevizan.barbosaa@gmail.com","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3"
"605a3386-f763-437b-bf7b-cfe6d7558fdb","igor","fasbnahbffashbf@gmai.com","123456"
"a982057a-fae7-497a-86df-c2c58aa3a374","igor","fasbnahbfadshbf@gmai.com","123456"
"a3f00b7e-2f76-4df1-8107-b3e9be3e2bdb","igor","fasbnahbfashbf@gmai.com","123456"
"8249f27c-dc9d-4208-9bf6-86098536562a","igor","daoCartTest@2gamilc.om","123456"
"782a8566-425b-445e-b5bc-21723cdb2b99","igor","daoCartTest@1gamilc.om","123456"
